pinguin_id,date,species,bill_length,bill_depth,sex
N1A1,2007-11-11,adelie,39.1,18.7,MALE
N1A2,2007-11-11,adelie,39.5,17.4,FEMALE
N2A1,2007-11-16,adelie,40.3,18.0,FEMALE
N2A2,2007-11-16,adelie,,,
N3A1,2007-11-16,adelie,36.7,19.3,FEMALE
N3A2,2007-11-16,adelie,39.3,20.6,MALE
N4A1,2007-11-15,adelie,38.9,17.8,FEMALE
N4A2,2007-11-15,adelie,39.2,19.6,MALE
N5A1,2007-11-09,adelie,34.1,18.1,
N5A2,2007-11-09,adelie,42.0,20.2,
N6A1,2007-11-09,adelie,37.8,17.1,
N6A2,2007-11-09,adelie,37.8,17.3,
N7A1,2007-11-15,adelie,41.1,17.6,FEMALE
N7A2,2007-11-15,adelie,38.6,21.2,MALE
N8A1,2007-11-16,adelie,34.6,21.1,MALE
N8A2,2007-11-16,adelie,36.6,17.8,FEMALE
N9A1,2007-11-12,adelie,38.7,19.0,FEMALE
N9A2,2007-11-12,adelie,42.5,20.7,MALE
N10A1,2007-11-16,adelie,34.4,18.4,FEMALE
N10A2,2007-11-16,adelie,46.0,21.5,MALE
N11A1,2007-11-12,adelie,37.8,18.3,FEMALE
N11A2,2007-11-12,adelie,37.7,18.7,MALE
N12A1,2007-11-12,adelie,35.9,19.2,FEMALE
N12A2,2007-11-12,adelie,38.2,18.1,MALE
N13A1,2007-11-10,adelie,38.8,17.2,MALE
N13A2,2007-11-10,adelie,35.3,18.9,FEMALE
N17A1,2007-11-12,adelie,40.6,18.6,MALE
N17A2,2007-11-12,adelie,40.5,17.9,FEMALE
N18A1,2007-11-10,adelie,37.9,18.6,FEMALE
N18A2,2007-11-10,adelie,40.5,18.9,MALE
N21A1,2007-11-09,adelie,39.5,16.7,FEMALE
N21A2,2007-11-09,adelie,37.2,18.1,MALE
N22A1,2007-11-09,adelie,39.5,17.8,FEMALE
N22A2,2007-11-09,adelie,40.9,18.9,MALE
N23A1,2007-11-16,adelie,36.4,17.0,FEMALE
N23A2,2007-11-16,adelie,39.2,21.1,MALE
N24A1,2007-11-16,adelie,38.8,20.0,MALE
N24A2,2007-11-16,adelie,42.2,18.5,FEMALE
N25A1,2007-11-13,adelie,37.6,19.3,FEMALE
N25A2,2007-11-13,adelie,39.8,19.1,MALE
N26A1,2007-11-16,adelie,36.5,18.0,FEMALE
N26A2,2007-11-16,adelie,40.8,18.4,MALE
N27A1,2007-11-19,adelie,36.0,18.5,FEMALE
N27A2,2007-11-19,adelie,44.1,19.7,MALE
N28A1,2007-11-16,adelie,37.0,16.9,FEMALE
N28A2,2007-11-16,adelie,39.6,18.8,MALE
N29A1,2007-11-13,adelie,41.1,19.0,MALE
N29A2,2007-11-13,adelie,37.5,18.9,
N30A1,2007-11-13,adelie,36.0,17.9,FEMALE
N30A2,2007-11-13,adelie,42.3,21.2,MALE
N21A1,2008-11-06,adelie,39.6,17.7,FEMALE
N21A2,2008-11-06,adelie,40.1,18.9,MALE
N22A1,2008-11-09,adelie,35.0,17.9,FEMALE
N22A2,2008-11-09,adelie,42.0,19.5,MALE
N23A1,2008-11-09,adelie,34.5,18.1,FEMALE
N23A2,2008-11-09,adelie,41.4,18.6,MALE
N24A1,2008-11-15,adelie,39.0,17.5,FEMALE
N24A2,2008-11-15,adelie,40.6,18.8,MALE
N25A1,2008-11-15,adelie,36.5,16.6,FEMALE
N25A2,2008-11-15,adelie,37.6,19.1,MALE
N27A1,2008-11-13,adelie,35.7,16.9,FEMALE
N27A2,2008-11-13,adelie,41.3,21.1,MALE
N28A1,2008-11-13,adelie,37.6,17.0,FEMALE
N28A2,2008-11-13,adelie,41.1,18.2,MALE
N29A1,2008-11-13,adelie,36.4,17.1,FEMALE
N29A2,2008-11-13,adelie,41.6,18.0,MALE
N30A1,2008-11-06,adelie,35.5,16.2,FEMALE
N30A2,2008-11-06,adelie,41.1,19.1,MALE
N32A1,2008-11-11,adelie,35.9,16.6,FEMALE
N32A2,2008-11-11,adelie,41.8,19.4,MALE
N34A1,2008-11-14,adelie,33.5,19.0,FEMALE
N34A2,2008-11-14,adelie,39.7,18.4,MALE
N35A1,2008-11-11,adelie,39.6,17.2,FEMALE
N35A2,2008-11-11,adelie,45.8,18.9,MALE
N36A1,2008-11-08,adelie,35.5,17.5,FEMALE
N36A2,2008-11-08,adelie,42.8,18.5,MALE
N37A1,2008-11-06,adelie,40.9,16.8,FEMALE
N37A2,2008-11-06,adelie,37.2,19.4,MALE
N38A1,2008-11-09,adelie,36.2,16.1,FEMALE
N38A2,2008-11-09,adelie,42.1,19.1,MALE
N39A1,2008-11-02,adelie,34.6,17.2,FEMALE
N39A2,2008-11-02,adelie,42.9,17.6,MALE
N40A1,2008-11-07,adelie,36.7,18.8,FEMALE
N40A2,2008-11-07,adelie,35.1,19.4,MALE
N41A1,2008-11-17,adelie,37.3,17.8,FEMALE
N41A2,2008-11-17,adelie,41.3,20.3,MALE
N42A1,2008-11-08,adelie,36.3,19.5,MALE
N42A2,2008-11-08,adelie,36.9,18.6,FEMALE
N44A1,2008-11-08,adelie,38.3,19.2,MALE
N44A2,2008-11-08,adelie,38.9,18.8,FEMALE
N45A1,2008-11-14,adelie,35.7,18.0,FEMALE
N45A2,2008-11-14,adelie,41.1,18.1,MALE
N46A1,2008-11-05,adelie,34.0,17.1,FEMALE
N46A2,2008-11-05,adelie,39.6,18.1,MALE
N48A1,2008-11-17,adelie,36.2,17.3,FEMALE
N48A2,2008-11-17,adelie,40.8,18.9,MALE
N49A1,2008-11-08,adelie,38.1,18.6,FEMALE
N49A2,2008-11-08,adelie,40.3,18.5,MALE
N50A1,2008-11-10,adelie,33.1,16.1,FEMALE
N50A2,2008-11-10,adelie,43.2,18.5,MALE
N47A1,2009-11-09,adelie,35.0,17.9,FEMALE
N47A2,2009-11-09,adelie,41.0,20.0,MALE
N49A1,2009-11-15,adelie,37.7,16.0,FEMALE
N49A2,2009-11-15,adelie,37.8,20.0,MALE
N51A1,2009-11-15,adelie,37.9,18.6,FEMALE
N51A2,2009-11-15,adelie,39.7,18.9,MALE
N53A1,2009-11-15,adelie,38.6,17.2,FEMALE
N53A2,2009-11-15,adelie,38.2,20.0,MALE
N55A1,2009-11-20,adelie,38.1,17.0,FEMALE
N55A2,2009-11-20,adelie,43.2,19.0,MALE
N58A1,2009-11-12,adelie,38.1,16.5,FEMALE
N58A2,2009-11-12,adelie,45.6,20.3,MALE
N60A1,2009-11-15,adelie,39.7,17.7,FEMALE
N60A2,2009-11-15,adelie,42.2,19.5,MALE
N61A1,2009-11-17,adelie,39.6,20.7,FEMALE
N61A2,2009-11-17,adelie,42.7,18.3,MALE
N63A1,2009-11-18,adelie,38.6,17.0,FEMALE
N63A2,2009-11-18,adelie,37.3,20.5,MALE
N64A1,2009-11-22,adelie,35.7,17.0,FEMALE
N64A2,2009-11-22,adelie,41.1,18.6,MALE
N66A1,2009-11-17,adelie,36.2,17.2,FEMALE
N66A2,2009-11-17,adelie,37.7,19.8,MALE
N67A1,2009-11-16,adelie,40.2,17.0,FEMALE
N67A2,2009-11-16,adelie,41.4,18.5,MALE
N69A1,2009-11-18,adelie,35.2,15.9,FEMALE
N69A2,2009-11-18,adelie,40.6,19.0,MALE
N71A1,2009-11-21,adelie,38.8,17.6,FEMALE
N71A2,2009-11-21,adelie,41.5,18.3,MALE
N72A1,2009-11-18,adelie,39.0,17.1,FEMALE
N72A2,2009-11-18,adelie,44.1,18.0,MALE
N73A1,2009-11-23,adelie,38.5,17.9,FEMALE
N73A2,2009-11-23,adelie,43.1,19.2,MALE
N76A1,2009-11-10,adelie,36.8,18.5,FEMALE
N76A2,2009-11-10,adelie,37.5,18.5,MALE
N77A1,2009-11-13,adelie,38.1,17.6,FEMALE
N77A2,2009-11-13,adelie,41.1,17.5,MALE
N78A1,2009-11-16,adelie,35.6,17.5,FEMALE
N78A2,2009-11-16,adelie,40.2,20.1,MALE
N79A1,2009-11-16,adelie,37.0,16.5,FEMALE
N79A2,2009-11-16,adelie,39.7,17.9,MALE
N80A1,2009-11-14,adelie,40.2,17.1,FEMALE
N80A2,2009-11-14,adelie,40.6,17.2,MALE
N81A1,2009-11-16,adelie,32.1,15.5,FEMALE
N81A2,2009-11-16,adelie,40.7,17.0,MALE
N82A1,2009-11-16,adelie,37.3,16.8,FEMALE
N82A2,2009-11-16,adelie,39.0,18.7,MALE
N83A1,2009-11-13,adelie,39.2,18.6,MALE
N83A2,2009-11-13,adelie,36.6,18.4,FEMALE
N84A1,2009-11-17,adelie,36.0,17.8,FEMALE
N84A2,2009-11-17,adelie,37.8,18.1,MALE
N85A1,2009-11-17,adelie,36.0,17.1,FEMALE
N85A2,2009-11-17,adelie,41.5,18.5,MALE
N61A1,2007-11-19,chinstrap,46.5,17.9,FEMALE
N61A2,2007-11-19,chinstrap,50.0,19.5,MALE
N62A1,2007-11-26,chinstrap,51.3,19.2,MALE
N62A2,2007-11-26,chinstrap,45.4,18.7,FEMALE
N64A1,2007-11-21,chinstrap,52.7,19.8,MALE
N64A2,2007-11-21,chinstrap,45.2,17.8,FEMALE
N66A1,2007-11-28,chinstrap,46.1,18.2,FEMALE
N66A2,2007-11-28,chinstrap,51.3,18.2,MALE
N67A1,2007-11-21,chinstrap,46.0,18.9,FEMALE
N67A2,2007-11-21,chinstrap,51.3,19.9,MALE
N68A1,2007-11-28,chinstrap,46.6,17.8,FEMALE
N68A2,2007-11-28,chinstrap,51.7,20.3,MALE
N69A1,2007-11-26,chinstrap,47.0,17.3,FEMALE
N69A2,2007-11-26,chinstrap,52.0,18.1,MALE
N70A1,2007-11-22,chinstrap,45.9,17.1,FEMALE
N70A2,2007-11-22,chinstrap,50.5,19.6,MALE
N71A1,2007-11-30,chinstrap,50.3,20.0,MALE
N71A2,2007-11-30,chinstrap,58.0,17.8,FEMALE
N72A1,2007-11-30,chinstrap,46.4,18.6,FEMALE
N72A2,2007-11-30,chinstrap,49.2,18.2,MALE
N73A1,2007-12-03,chinstrap,42.4,17.3,FEMALE
N73A2,2007-12-03,chinstrap,48.5,17.5,MALE
N85A1,2007-11-28,chinstrap,43.2,16.6,FEMALE
N85A2,2007-11-28,chinstrap,50.6,19.4,MALE
N89A1,2007-11-28,chinstrap,46.7,17.9,FEMALE
N89A2,2007-11-28,chinstrap,52.0,19.0,MALE
N61A1,2008-11-25,chinstrap,50.5,18.4,FEMALE
N61A2,2008-11-25,chinstrap,49.5,19.0,MALE
N62A1,2008-11-14,chinstrap,46.4,17.8,FEMALE
N62A2,2008-11-14,chinstrap,52.8,20.0,MALE
N63A1,2008-11-24,chinstrap,40.9,16.6,FEMALE
N63A2,2008-11-24,chinstrap,54.2,20.8,MALE
N65A1,2008-11-24,chinstrap,42.5,16.7,FEMALE
N65A2,2008-11-24,chinstrap,51.0,18.8,MALE
N67A1,2008-11-25,chinstrap,49.7,18.6,MALE
N67A2,2008-11-25,chinstrap,47.5,16.8,FEMALE
N69A1,2008-11-14,chinstrap,47.6,18.3,FEMALE
N69A2,2008-11-14,chinstrap,52.0,20.7,MALE
N72A1,2008-11-24,chinstrap,46.9,16.6,FEMALE
N72A2,2008-11-24,chinstrap,53.5,19.9,MALE
N74A1,2008-11-24,chinstrap,49.0,19.5,MALE
N74A2,2008-11-24,chinstrap,46.2,17.5,FEMALE
N75A1,2008-11-14,chinstrap,50.9,19.1,MALE
N75A2,2008-11-14,chinstrap,45.5,17.0,FEMALE
N86A1,2009-11-17,chinstrap,50.9,17.9,FEMALE
N86A2,2009-11-17,chinstrap,50.8,18.5,MALE
N87A1,2009-11-27,chinstrap,50.1,17.9,FEMALE
N87A2,2009-11-27,chinstrap,49.0,19.6,MALE
N88A1,2009-11-23,chinstrap,51.5,18.7,MALE
N88A2,2009-11-23,chinstrap,49.8,17.3,FEMALE
N90A1,2009-11-21,chinstrap,48.1,16.4,FEMALE
N90A2,2009-11-21,chinstrap,51.4,19.0,MALE
N92A1,2009-11-23,chinstrap,45.7,17.3,FEMALE
N92A2,2009-11-23,chinstrap,50.7,19.7,MALE
N93A1,2009-11-27,chinstrap,42.5,17.3,FEMALE
N93A2,2009-11-27,chinstrap,52.2,18.8,MALE
N94A1,2009-11-21,chinstrap,45.2,16.6,FEMALE
N94A2,2009-11-21,chinstrap,49.3,19.9,MALE
N95A1,2009-11-21,chinstrap,50.2,18.8,MALE
N95A2,2009-11-21,chinstrap,45.6,19.4,FEMALE
N96A1,2009-11-27,chinstrap,51.9,19.5,MALE
N96A2,2009-11-27,chinstrap,46.8,16.5,FEMALE
N98A1,2009-11-19,chinstrap,45.7,17.0,FEMALE
N98A2,2009-11-19,chinstrap,55.8,19.8,MALE
N99A1,2009-11-21,chinstrap,43.5,18.1,FEMALE
N99A2,2009-11-21,chinstrap,49.6,18.2,MALE
N100A1,2009-11-21,chinstrap,50.8,19.0,MALE
N100A2,2009-11-21,chinstrap,50.2,18.7,FEMALE
N31A1,2007-11-27,gentoo,46.1,13.2,FEMALE
N31A2,2007-11-27,gentoo,50.0,16.3,MALE
N32A1,2007-11-27,gentoo,48.7,14.1,FEMALE
N32A2,2007-11-27,gentoo,50.0,15.2,MALE
N33A1,2007-11-18,gentoo,47.6,14.5,MALE
N33A2,2007-11-18,gentoo,46.5,13.5,FEMALE
N34A1,2007-11-27,gentoo,45.4,14.6,FEMALE
N34A2,2007-11-27,gentoo,46.7,15.3,MALE
N35A1,2007-11-27,gentoo,43.3,13.4,FEMALE
N35A2,2007-11-27,gentoo,46.8,15.4,MALE
N36A1,2007-11-27,gentoo,40.9,13.7,FEMALE
N36A2,2007-11-27,gentoo,49.0,16.1,MALE
N37A1,2007-11-29,gentoo,45.5,13.7,FEMALE
N37A2,2007-11-29,gentoo,48.4,14.6,MALE
N38A1,2007-12-03,gentoo,45.8,14.6,FEMALE
N38A2,2007-12-03,gentoo,49.3,15.7,MALE
N39A1,2007-11-27,gentoo,42.0,13.5,FEMALE
N39A2,2007-11-27,gentoo,49.2,15.2,MALE
N40A1,2007-11-27,gentoo,46.2,14.5,FEMALE
N40A2,2007-11-27,gentoo,48.7,15.1,MALE
N41A1,2007-11-27,gentoo,50.2,14.3,MALE
N41A2,2007-11-27,gentoo,45.1,14.5,FEMALE
N42A1,2007-11-27,gentoo,46.5,14.5,FEMALE
N42A2,2007-11-27,gentoo,46.3,15.8,MALE
N44A1,2007-11-29,gentoo,42.9,13.1,FEMALE
N44A2,2007-11-29,gentoo,46.1,15.1,MALE
N46A1,2007-11-29,gentoo,44.5,14.3,
N46A2,2007-11-29,gentoo,47.8,15.0,MALE
N47A1,2007-11-29,gentoo,48.2,14.3,FEMALE
N47A2,2007-11-29,gentoo,50.0,15.3,MALE
N50A1,2007-11-29,gentoo,47.3,15.3,MALE
N50A2,2007-11-29,gentoo,42.8,14.2,FEMALE
N56A1,2007-12-03,gentoo,45.1,14.5,FEMALE
N56A2,2007-12-03,gentoo,59.6,17.0,MALE
N2A1,2008-11-13,gentoo,49.1,14.8,FEMALE
N2A2,2008-11-13,gentoo,48.4,16.3,MALE
N4A1,2008-11-02,gentoo,42.6,13.7,FEMALE
N4A2,2008-11-02,gentoo,44.4,17.3,MALE
N5A1,2008-11-09,gentoo,44.0,13.6,FEMALE
N5A2,2008-11-09,gentoo,48.7,15.7,MALE
N6A1,2008-11-04,gentoo,42.7,13.7,FEMALE
N6A2,2008-11-04,gentoo,49.6,16.0,MALE
N7A1,2008-11-04,gentoo,45.3,13.7,FEMALE
N7A2,2008-11-04,gentoo,49.6,15.0,MALE
N8A1,2008-11-03,gentoo,50.5,15.9,MALE
N8A2,2008-11-03,gentoo,43.6,13.9,FEMALE
N11A1,2008-11-09,gentoo,45.5,13.9,FEMALE
N11A2,2008-11-09,gentoo,50.5,15.9,MALE
N12A1,2008-11-02,gentoo,44.9,13.3,FEMALE
N12A2,2008-11-02,gentoo,45.2,15.8,MALE
N13A1,2008-11-04,gentoo,46.6,14.2,FEMALE
N13A2,2008-11-04,gentoo,48.5,14.1,MALE
N14A1,2008-11-04,gentoo,45.1,14.4,FEMALE
N14A2,2008-11-04,gentoo,50.1,15.0,MALE
N15A1,2008-11-04,gentoo,46.5,14.4,FEMALE
N15A2,2008-11-04,gentoo,45.0,15.4,MALE
N16A1,2008-11-03,gentoo,43.8,13.9,FEMALE
N16A2,2008-11-03,gentoo,45.5,15.0,MALE
N17A1,2008-11-06,gentoo,43.2,14.5,FEMALE
N17A2,2008-11-06,gentoo,50.4,15.3,MALE
N18A1,2008-11-03,gentoo,45.3,13.8,FEMALE
N18A2,2008-11-03,gentoo,46.2,14.9,MALE
N19A1,2008-11-13,gentoo,45.7,13.9,FEMALE
N19A2,2008-11-13,gentoo,54.3,15.7,MALE
N20A1,2008-11-04,gentoo,45.8,14.2,FEMALE
N20A2,2008-11-04,gentoo,49.8,16.8,MALE
N51A1,2008-11-09,gentoo,46.2,14.4,
N51A2,2008-11-09,gentoo,49.5,16.2,MALE
N53A1,2008-11-13,gentoo,43.5,14.2,FEMALE
N53A2,2008-11-13,gentoo,50.7,15.0,MALE
N54A1,2008-11-03,gentoo,47.7,15.0,FEMALE
N54A2,2008-11-03,gentoo,46.4,15.6,MALE
N55A1,2008-11-09,gentoo,48.2,15.6,MALE
N55A2,2008-11-09,gentoo,46.5,14.8,FEMALE
N56A1,2008-11-06,gentoo,46.4,15.0,FEMALE
N56A2,2008-11-06,gentoo,48.6,16.0,MALE
N58A1,2008-11-06,gentoo,47.5,14.2,FEMALE
N58A2,2008-11-06,gentoo,51.1,16.3,MALE
N60A1,2008-11-09,gentoo,45.2,13.8,FEMALE
N60A2,2008-11-09,gentoo,45.2,16.4,MALE
N1A1,2009-11-18,gentoo,49.1,14.5,FEMALE
N1A2,2009-11-18,gentoo,52.5,15.6,MALE
N6A1,2009-11-15,gentoo,47.4,14.6,FEMALE
N6A2,2009-11-15,gentoo,50.0,15.9,MALE
N8A1,2009-11-22,gentoo,44.9,13.8,FEMALE
N8A2,2009-11-22,gentoo,50.8,17.3,MALE
N13A1,2009-11-20,gentoo,43.4,14.4,FEMALE
N13A2,2009-11-20,gentoo,51.3,14.2,MALE
N14A1,2009-11-25,gentoo,47.5,14.0,FEMALE
N14A2,2009-11-25,gentoo,52.1,17.0,MALE
N15A1,2009-11-25,gentoo,47.5,15.0,FEMALE
N15A2,2009-11-25,gentoo,52.2,17.1,MALE
N18A1,2009-12-01,gentoo,45.5,14.5,FEMALE
N18A2,2009-12-01,gentoo,49.5,16.1,MALE
N19A1,2009-11-27,gentoo,44.5,14.7,FEMALE
N19A2,2009-11-27,gentoo,50.8,15.7,MALE
N20A1,2009-11-18,gentoo,49.4,15.8,MALE
N20A2,2009-11-18,gentoo,46.9,14.6,FEMALE
N21A1,2009-11-18,gentoo,48.4,14.4,FEMALE
N21A2,2009-11-18,gentoo,51.1,16.5,MALE
N22A1,2009-11-22,gentoo,48.5,15.0,FEMALE
N22A2,2009-11-22,gentoo,55.9,17.0,MALE
N23A1,2009-11-18,gentoo,47.2,15.5,FEMALE
N23A2,2009-11-18,gentoo,49.1,15.0,MALE
N24A1,2009-12-01,gentoo,47.3,13.8,
N24A2,2009-12-01,gentoo,46.8,16.1,MALE
N28A1,2009-11-10,gentoo,41.7,14.7,FEMALE
N28A2,2009-11-10,gentoo,53.4,15.8,MALE
N29A1,2009-11-09,gentoo,43.3,14.0,FEMALE
N29A2,2009-11-09,gentoo,48.1,15.1,MALE
N32A1,2009-11-20,gentoo,50.5,15.2,FEMALE
N32A2,2009-11-20,gentoo,49.8,15.9,MALE
N34A1,2009-11-27,gentoo,43.5,15.2,FEMALE
N34A2,2009-11-27,gentoo,51.5,16.3,MALE
N35A1,2009-11-25,gentoo,46.2,14.1,FEMALE
N35A2,2009-11-25,gentoo,55.1,16.0,MALE
N36A1,2009-12-01,gentoo,44.5,15.7,.
N36A2,2009-12-01,gentoo,48.8,16.2,MALE
N38A1,2009-12-01,gentoo,47.2,13.7,FEMALE
N38A2,2009-12-01,gentoo,,,
N39A1,2009-11-22,gentoo,46.8,14.3,FEMALE
N39A2,2009-11-22,gentoo,50.4,15.7,MALE
N43A1,2009-11-22,gentoo,45.2,14.8,FEMALE
N43A2,2009-11-22,gentoo,49.9,16.1,MALE
